1,고기,돼지갈비,395,30.17,0,28.94,1500,100g당
2,고기,소고기 갈비살,469,41.8,0,21.48,4700,100g당
3,고기,닭고기,237,13.49,0,27.07,5500,100g당
4,고기,오리고기,132,5.95,0,18.28,8000,100g당
5,생선&해산물,고등어,167,9.36,0,19.32,9900,100g당
6,생선&해산물,멸치,131,4.84,0,20.35,8900,100g당
7,생선&해산물,문어,82,1.04,2.2,14.91,4650,100g당
8,생선&해산물,굴,68,2.46,3.91,7.05,2500,100g당
9,음료,두유,127,4.7,12.08,10.98,700,1컵
10,음료,사과주스,117,0.27,28.97,0.15,800,1컵
11,음료,우유,122,4.88,11.49,8.03,500,1컵
12,음료,오렌지주스,112,0.5,25.79,1.74,700,1컵
13,과일,딸기,32,0.3,7.68,0.67,1280,100g당
14,과일,바나나,89,0.33,22.84,1.09,400,100g당
15,과일,사과주스,52,0.17,13.81,0.26,700,100g당
16,과일,오렌지주스,47,0.12,11.75,0.94,1000,100g당
17,야채,감자,87,0.1,20.13,1.87,390,100g당
18,야채,고구마,86,0.05,20.12,1.57,650,100g당
19,야채,당근,41,0.24,9.58,0.93,750,100g당
20,야채,상추,14,0.14,2.97,0.9,1150,100g당
21,빵&시리얼,식빵,266,3.29,50.61,7.64,980,100g당
22,빵&시리얼,시리얼,376,3.36,83.02,7.24,700,100g당
23,빵&시리얼,마늘빵,330,12.78,45.62,7.75,1200,100g당
24,빵&시리얼,베이글,257,1.62,50.5,10.02,820,100g당
